sample	target	ratio	CN	corrected.CN
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	3	0.986486486486487	1.97297297297297	1.97290970768669
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	4	1.0472972972973	2.09459459459459	1.98770321255469
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	5	1	2	1.97494181745639
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	6	1.03716216216216	2.07432432432432	1.96510646606055
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	7	0.97972972972973	1.95945945945946	1.93018207665432
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	8	0.97972972972973	1.95945945945946	1.97113698432439
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	9	1.03401360544218	2.06802721088435	2.00515836150498
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	10	0.972972972972973	1.94594594594595	1.94591183991408
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	11	1.04761904761905	2.0952380952381	2.03162933951485
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	12	0.986486486486487	1.97297297297297	2.00549094626181
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	13	1.03378378378378	2.06756756756757	2.03858327678062
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	14	1.04761904761905	2.0952380952381	1.97028809317231
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	15	0.959459459459459	1.91891891891892	1.95089003462756
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	16	0.986486486486487	1.97297297297297	2.04866629995919
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	17	1.0135593220339	2.0271186440678	2.02747310623271
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	18	1.01351351351351	2.02702702702703	2.02689992251557
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	19	1.02364864864865	2.0472972972973	2.02350944126077
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	20	0.986486486486487	1.97297297297297	2.03187010016654
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	21	0.986486486486487	1.97297297297297	2.00441585740439
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	22	0.918918918918919	1.83783783783784	1.93428154785514
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	23	0.689189189189189	1.37837837837838	0.928356979132711
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	24	0.756756756756757	1.51351351351351	0.953826324997235
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	1	1.03389830508475	2.06779661016949	2.03571459839379
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	2	0.991525423728814	1.98305084745763	1.98300179109393
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	3	1	2	1.99993673471372
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	4	1.01694915254237	2.03389830508475	1.92700692304484
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	5	1	2	1.97494181745639
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	6	1.05932203389831	2.11864406779661	2.00942620953284
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	7	1	2	1.97072261719486
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	8	0.991525423728814	1.98305084745763	1.99472837232255
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	9	1.03389830508475	2.06779661016949	2.00492776079012
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	10	1	2	1.99996589396814
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	11	1.05084745762712	2.10169491525424	2.03808615953099
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	12	1	2	2.03251797328884
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	13	0.983050847457627	1.96610169491525	1.93711740412831
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	14	1.10169491525424	2.20338983050847	2.07843982844269
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	15	1.01694915254237	2.03389830508475	2.06586942079339
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	16	0.983050847457627	1.96610169491525	2.04179502190147
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	17	1	2	2.00035446216491
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	18	1.03389830508475	2.06779661016949	2.06766950565803
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	19	1.06779661016949	2.13559322033898	2.11180536430246
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	20	0.983050847457627	1.96610169491525	2.02499882210882
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	21	0.983050847457627	1.96610169491525	1.99754457934667
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	22	0.940677966101695	1.88135593220339	1.97779964222069
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	23	0.728813559322034	1.45762711864407	1.0076057193984
s_C_003004_P003_d__s_C_003004_N001_d.snp_pileup.gz	24	0.779661016949153	1.55932203389831	0.999634845382027
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	1	1	2	1.9679179882243
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	2	0.992537313432836	1.98507462686567	1.98502557050197
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	3	0.970149253731343	1.94029850746269	1.94023524217641
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	4	1.04477611940298	2.08955223880597	1.98266085676606
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	5	1	2	1.97494181745639
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	6	1.04477611940298	2.08955223880597	1.9803343805422
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	7	0.970149253731343	1.94029850746269	1.91102112465755
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	8	1.01119402985075	2.02238805970149	2.03406558456642
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	9	1.01492537313433	2.02985074626866	1.96698189688928
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	10	1	2	1.99996589396814
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	11	1.02985074626866	2.05970149253731	1.99609273681407
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	12	0.955223880597015	1.91044776119403	1.94296573448287
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	13	1.01492537313433	2.02985074626866	2.00086645548171
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	14	1.05970149253731	2.11940298507463	1.99445298300885
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	15	0.970149253731343	1.94029850746269	1.97226962317133
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	16	0.970149253731343	1.94029850746269	2.0159918344489
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	17	0.985074626865672	1.97014925373134	1.97050371589626
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	18	1.02985074626866	2.05970149253731	2.05957438802586
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	19	1.02985074626866	2.05970149253731	2.03591363650079
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	20	0.962686567164179	1.92537313432836	1.98427026152193
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	21	0.985074626865672	1.97014925373134	2.00159213816276
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	22	0.955223880597015	1.91044776119403	2.00689147121133
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	23	0.694029850746269	1.38805970149254	0.93803830224687
s_C_EY4T01_P001_d__s_C_EY4T01_N001_d.snp_pileup.gz	24	0.686567164179104	1.37313432835821	0.813447139841931
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	1	1.01492537313433	2.02985074626866	1.99776873449295
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	2	1.01492537313433	2.02985074626866	2.02980168990496
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	3	0.977611940298508	1.95522388059702	1.95516061531074
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	4	1.04850746268657	2.09701492537313	1.99012354333323
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	5	1	2	1.97494181745639
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	6	1.05970149253731	2.11940298507463	2.01018512681085
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	7	0.955223880597015	1.91044776119403	1.88117037838889
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	8	0.992537313432836	1.98507462686567	1.9967521517306
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	9	1.01492537313433	2.02985074626866	1.96698189688928
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	10	0.985074626865672	1.97014925373134	1.97011514769948
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	11	1.03759398496241	2.07518796992481	2.01157921420156
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	12	0.970149253731343	1.94029850746269	1.97281648075152
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	13	1	2	1.97101570921305
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	14	1.07462686567164	2.14925373134328	2.0243037292775
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	15	0.970149253731343	1.94029850746269	1.97226962317133
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	16	0.962686567164179	1.92537313432836	2.00106646131457
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	17	1	2	2.00035446216491
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	18	1.01492537313433	2.02985074626866	2.0297236417572
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	19	1.01492537313433	2.02985074626866	2.00606289023213
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	20	0.970149253731343	1.94029850746269	1.99919563465626
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	21	1	2	2.03144288443141
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	22	0.947761194029851	1.8955223880597	1.991966098077
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	23	0.694029850746269	1.38805970149254	0.93803830224687
s_C_EY4T01_P002_d__s_C_EY4T01_N001_d.snp_pileup.gz	24	0.73134328358209	1.46268656716418	0.902999378647901
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	1	0.992424242424242	1.98484848484848	1.95276647307278
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	2	1	2	1.9999509436363
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	3	0.984848484848485	1.96969696969697	1.96963370441069
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	4	1.08333333333333	2.16666666666667	2.05977528462676
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	5	1.08333333333333	2.16666666666667	2.14160848412306
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	6	1.04924242424242	2.09848484848485	1.98926699022108
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	7	1.03030303030303	2.06060606060606	2.03132867780092
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	8	0.992424242424242	1.98484848484848	1.99652600971341
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	9	1.06060606060606	2.12121212121212	2.05834327183275
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	10	1	2	1.99996589396814
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	11	1.04545454545455	2.09090909090909	2.02730033518584
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	12	0.984848484848485	1.96969696969697	2.00221494298581
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	13	1.07575757575758	2.15151515151515	2.1225308607282
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	14	1.04545454545455	2.09090909090909	1.96595908884331
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	15	0.992424242424242	1.98484848484848	2.01681960055712
s_C_9D6RDD_P001_d__s_C_9D6RDD_N001_d.snp_pileup.gz	16	0.962121212121212	1.92424242424242	1.99993575122864
