Y_call	sample.id	length	ploidy	purity	min.segment	max.segment
intact_Y_chrom	TCGA-06-0882	23847709	1.99749139086145	0.510190935405843	2787000	26634709
Y_chrom_loss	TCGA-06-1084	23834824	2.33256627276168	0.511179727403285	2786976	26621800
Y_chrom_loss	TCGA-06-1087	23807950	2.53456844062629	0.381817246081115	2786950	26594900
intact_Y_chrom	TCGA-06-1800	23846335	2.23202772535227	0.791226757435945	2787015	26633350
Y_chrom_loss	TCGA-06-1802	23847605	5.66521398366651	0.845570737812845	2787015	26634620
Y_chrom_loss	TCGA-06-1806	23841227	2.17970257927144	0.496280812299773	2786973	26628200
intact_Y_chrom	TCGA-06-2557	23841181	1.84202168521975	0.708117239691852	2787019	26628200
intact_Y_chrom	TCGA-06-2559	23846391	2.10027775319225	0.851773141568021	2786950	26633341
intact_Y_chrom	TCGA-06-2562	23846361	2.03380962585331	0.716649787559044	2786984	26633345
intact_Y_chrom	TCGA-06-2564	23009601	1.98168874516988	0.685540025981504	2787019	26634709
intact_Y_chrom	TCGA-06-2565	23847709	2.03956583954394	0.864290071738355	2786967	26634676
intact_Y_chrom	TCGA-06-2567	23846406	2.00087104503118	0.77049198556336	2786984	26633390
intact_Y_chrom	TCGA-06-5411	23840817	3.53160704708822	0.431956318497846	2787533	26628350
intact_Y_chrom	TCGA-06-5413	23840824	1.70695968236033	0.590928309352984	2787426	26628250
intact_Y_chrom	TCGA-06-5414	23847733	2.0659870246425	0.707761509776769	2786976	26634709
intact_Y_chrom	TCGA-06-5415	23846383	2.10337388773831	0.780063459287585	2786967	26633350
intact_Y_chrom	TCGA-06-5856	23841282	4.72017359349034	0.680011487169476	2786968	26628250
intact_Y_chrom	TCGA-06-5859	23840744	1.89536773159639	0.75356715719596	2787456	26628200
intact_Y_chrom	TCGA-06-6390	23840931	1.90654665419327	0.588813080873285	2787434	26628365
intact_Y_chrom	TCGA-06-6695	23112293	2.14301999886486	0.82504754508179	2786962	26628200
intact_Y_chrom	TCGA-06-6697	23841381	2.00028599275307	0.459633344566425	2786984	26628365
intact_Y_chrom	TCGA-06-6700	23841248	2.07066375002163	0.496321261873987	2787052	26628300
intact_Y_chrom	TCGA-06-6701	23841332	2.00589992221826	0.812767244964315	2786968	26628300
intact_Y_chrom	TCGA-06-A6S0	23786082	2.02598366811917	0.8376177745158	2842218	26628300
intact_Y_chrom	TCGA-06-A7TK	23846388	2.06699769088012	0.680362181184975	2786962	26633350
Y_chrom_loss	TCGA-08-0386	23847620	1.6181562305944	0.36622410029306	2787000	26634620
intact_Y_chrom	TCGA-12-0618	23840965	1.92212404758399	0.913949485401888	2787385	26628350
intact_Y_chrom	TCGA-12-0619	23846422	1.97305372102795	0.737386603998975	2786968	26633390
intact_Y_chrom	TCGA-12-0657	23847561	2.04698773276345	0.662983728887778	2787139	26634700
intact_Y_chrom	TCGA-12-0662	23847776	4.57922329713041	0.531030868885851	2786900	26634676
intact_Y_chrom	TCGA-12-0670	19940578	4.41395534805798	0.761918738073468	2786976	26633324
intact_Y_chrom	TCGA-12-0688	23841346	2.12327922036621	0.781906268780016	2787019	26628365
intact_Y_chrom	TCGA-12-0691	23847760	5.91966397276184	0.713414039104095	2786976	26634736
intact_Y_chrom	TCGA-12-0707	23847739	3.20940814739029	0.845576875063171	2786984	26634723
intact_Y_chrom	TCGA-12-0773	23846485	2.497417989562	0.515374392914474	2786938	26633423
intact_Y_chrom	TCGA-12-0778	23834842	3.07838473264962	0.7563427587156	2786973	26621815
intact_Y_chrom	TCGA-12-0820	23846357	3.33027458662099	0.219643625943175	2786984	26633341
intact_Y_chrom	TCGA-12-0821	23847537	1.87618771821899	0.87825807568285	2787139	26634676
intact_Y_chrom	TCGA-12-0822	23846373	3.60639313871056	0.227988684274341	2786968	26633341
intact_Y_chrom	TCGA-12-0828	23847623	2.20819493007055	0.778635918901352	2787053	26634676
intact_Y_chrom	TCGA-12-0829	23846477	3.33647008537565	0.642821910625801	2786973	26633450
