"Gene"	"Match"	"number"	"ID"
"NLGN4Y"	1	5	"RP/somatic/s_C_001235_T001_d__"
"KDM5D"	1	19	"RP/somatic/s_C_001235_T001_d__"
"EIF1AY"	1	1	"RP/somatic/s_C_001235_T001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_001235_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001235_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001235_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001235_T001_d__"
"ZFY"	1	8	"RP/somatic/s_C_001235_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001235_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001235_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001235_T001_d__"
"TBL1Y"	1	4	"RP/somatic/s_C_001235_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001240_T001_d__"
"USP9Y"	1	26	"RP/somatic/s_C_001240_T001_d__"
"DDX3Y"	1	9	"RP/somatic/s_C_001240_T001_d__"
"UTY"	1	21	"RP/somatic/s_C_001240_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001240_T001_d__"
"NLGN4Y"	1	8	"RP/somatic/s_C_001240_T001_d__"
"KDM5D"	1	21	"RP/somatic/s_C_001240_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001240_T001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_001240_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001240_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001240_T001_d__"
"RPS4Y1"	1	6	"RP/somatic/s_C_001240_T001_d__"
"ZFY"	1	11	"RP/somatic/s_C_001240_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001240_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001240_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001240_T001_d__"
"TBL1Y"	1	6	"RP/somatic/s_C_001240_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001244_T001_d__"
"USP9Y"	1	22	"RP/somatic/s_C_001244_T001_d__"
