"sample"	"mutations"	"cnas_oncokb"	"cnas_all"
"P-0036993-T01-IM6"	40	0	445
"P-0037007-T01-IM6"	8	5	403
"P-0037441-T01-IM6"	4	0	434
"P-0037453-T01-IM6"	4	2	418
"P-0037534-T01-IM6"	4	4	435
"P-0037538-T01-IM6"	2	0	452
"P-0037621-T01-IM6"	4	9	447
"P-0037737-T01-IM6"	2	8	377
"P-0037890-T01-IM6"	4	3	415
"P-0038081-T01-IM6"	3	2	387
"P-0038124-T01-IM6"	4	1	406
"P-0038204-T01-IM6"	10	10	400
"P-0038255-T01-IM6"	2	1	448
"P-0038294-T01-IM6"	6	1	434
"P-0038297-T01-IM6"	5	6	444
"P-0038447-T01-IM6"	2	0	444
"P-0038508-T01-IM6"	6	3	446
"P-0038558-T01-IM6"	3	5	399
"P-0038582-T01-IM6"	19	1	432
"P-0038631-T01-IM6"	10	10	386
"P-0038633-T01-IM6"	5	0	434
"P-0038848-T01-IM6"	5	5	401
"P-0038857-T01-IM6"	11	6	410
"P-0038937-T01-IM6"	3	2	408
"P-0038977-T01-IM6"	6	0	433
"P-0039149-T01-IM6"	9	1	389
"P-0039159-T01-IM6"	3	3	383
"P-0039255-T02-IM6"	7	1	406
"P-0039304-T01-IM6"	9	0	438
"P-0039326-T01-IM6"	10	5	363
"P-0039596-T01-IM6"	68	0	455
"P-0040292-T01-IM6"	0	11	418
"P-0040300-T01-IM6"	9	3	382
"P-0040315-T01-IM6"	3	5	434
"P-0040341-T01-IM6"	49	0	448
"P-0040444-T01-IM6"	2	12	413
"P-0040591-T01-IM6"	7	0	437
"P-0040602-T01-IM6"	8	7	393
"P-0040676-T01-IM6"	4	4	449
"P-0040855-T01-IM6"	3	5	390
"P-0041064-T01-IM6"	7	0	453
"P-0041211-T01-IM6"	4	4	412
"P-0041382-T01-IM6"	92	0	432
"P-0041482-T01-IM6"	3	1	414
"P-0041483-T01-IM6"	6	0	447
"P-0041586-T01-IM6"	6	3	425
"P-0041677-T01-IM6"	3	0	447
"P-0041905-T01-IM6"	8	4	429
"P-0042020-T01-IM6"	6	0	399
"P-0042081-T01-IM6"	3	14	424
"P-0042157-T01-IM6"	10	1	393
"P-0042209-T01-IM6"	4	1	452
"P-0042235-T01-IM6"	7	0	436
"P-0042315-T01-IM6"	5	3	427
"P-0042519-T01-IM6"	4	9	415
"P-0042649-T01-IM6"	2	0	450
"P-0042933-T01-IM6"	5	10	375
"P-0042994-T01-IM6"	4	0	431
"P-0043376-T01-IM6"	6	0	415
"P-0043518-T01-IM6"	63	0	450
